archivo,fecha_inicio,nombre_movil,x,y,z
campaña Informe del Procesamiento GNSS - Resumen.html,2024-08-17 12:20:57,Base1,1746427.0619,-6115846.889,509961.0397
p_15_1 Informe del Procesamiento GNSS - Resumen.html,2024-08-17 12:21:12,Z5_GR4_13,1746277.9937,-6115865.5899,509843.0093
p_3_1 Informe del Procesamiento GNSS - Resumen.html,2024-08-17 12:24:42,log0817r_ZNDE,1746413.7505,-6115858.8373,509850.673
p_4 Informe del Procesamiento GNSS - Resumen.html,2024-08-17 13:01:23,log0817s_TR0G,1746430.4779,-6115848.3461,509929.7658
p_12 Informe del Procesamiento GNSS - Resumen.html,2024-09-07 12:23:42,pt2,1746427.0653,-6115846.9625,509960.981
p_9 Informe del Procesamiento GNSS - Resumen.html,2024-09-07 12:24:03,log1213r_QMTU,1746413.6645,-6115858.5545,509850.6596
p_6 Informe del Procesamiento GNSS - Resumen.html,2024-09-07 12:25:12,log0907r000_FQQA,1746278.0059,-6115865.801,509843.0854
p_5 Informe del Procesamiento GNSS - Resumen.html,2024-09-07 12:40:44,log0907ra_Z30Y,1746430.4066,-6115848.1135,509929.7492
p_13 Informe del Procesamiento GNSS - Resumen.html,2024-09-28 10:45:42,Marcador Desconocido,1746427.0781,-6115847.0263,509961.0364
p_8 Informe del Procesamiento GNSS - Resumen.html,2024-09-28 10:46:55,log0928p_24U8,1746414.1601,-6115860.305,509850.8275
p_7 Informe del Procesamiento GNSS - Resumen.html,2024-09-28 10:57:56,log0928p002_UOEQ,1746430.0373,-6115847.831,509929.3128
p_11 Informe del Procesamiento GNSS - Resumen.html,2024-09-28 11:04:12,log20240928_110407_FQQA,1746277.9785,-6115865.7049,509843.1005
campaña_1 Informe del Procesamiento GNSS - Resumen.html,2024-10-19 08:47:41,log0428n000_TR0G,1746413.7941,-6115859.0289,509850.693
P_16 Informe del Procesamiento GNSS - Resumen.html,2024-10-19 09:12:42,Z5_GR413_1910,1746277.9506,-6115865.5587,509843.0593
p_14 Informe del Procesamiento GNSS - Resumen.html,2024-10-19 09:21:52,REC_20241019,1746427.041,-6115846.9072,509960.9804
p_10 Informe del Procesamiento GNSS - Resumen.html,2024-10-19 11:08:41,log1019q_UOEQ,1746430.41,-6115848.0941,509929.7457
